biomarker_id,analyte_name,specimen,measurement_property,canonical_unit,category,panel_seed,is_derived,aliases,loinc_code,loinc_component,default_reference_range_notes
10466-1,Anion gap in Serum or Plasma by Calculated.3Ions,Serum/Plasma,Substance concentration,mmol/L,Chemistry,Other,False,"[""Anion Gap SerPl Calculated.3Ions-sCnc"", ""Anion gap Calculated.3Ions [Moles/Vol]""]",10466-1,Anion gap,
10501-5,Lutropin [Units/volume] in Serum or Plasma,Serum/Plasma,Arbitrary concentration,mIU/mL,Chemistry,Hormones,False,"[""LH"", ""LH SerPl-aCnc"", ""Luteinizing Hormone"", ""Lutropin Qn""]",10501-5,Lutropin,
10834-0,Globulin [Mass/volume] in Serum by calculation,Serum,Mass concentration,g/dL,Chemistry,Other,True,"[""Globulin"", ""Globulin Calc (S) [Mass/Vol]"", ""Globulin Calculated"", ""Globulin Ser Calc-mCnc"", ""Serum Globulin""]",10834-0,Globulin,
10839-9,Troponin I.cardiac [Mass/volume] in Serum or Plasma,Serum/Plasma,Mass concentration,ug/L,Chemistry,Cardiac Markers,False,"[""Troponin I SerPl-mCnc"", ""Troponin I.cardiac [Mass/Vol]""]",10839-9,Troponin I.cardiac,
11253-2,Tacrolimus [Mass/volume] in Blood,Whole Blood,Mass concentration,ug/L,Toxicology,Other,False,"[""Tacrolimus (Bld) [Mass/Vol]"", ""Tacrolimus Bld-mCnc""]",11253-2,Tacrolimus,
11282-1,Cells Counted Total [#] in Blood,Whole Blood,Num,#,Hematology,Other,False,"[""Cells Counted Total (Bld) [#]"", ""Total Cells Counted Bld""]",11282-1,Cells counted.total,
11555-0,Base excess in Blood by calculation,Whole Blood,Substance concentration,mmol/L,Chemistry,Other,False,"[""Base excess Bld Calc-sCnc"", ""Base excess Calc (Bld) [Moles/Vol]""]",11555-0,Base excess,
11556-8,Oxygen [Partial pressure] in Blood,Whole Blood,PPres,mm Hg,Chemistry,Other,False,"[""Oxygen (Bld) [Partial pressure]"", ""pO2 Bld""]",11556-8,Oxygen,
11557-6,Carbon dioxide [Partial pressure] in Blood,Whole Blood,PPres,mm Hg,Chemistry,Other,False,"[""CO2 (Bld) [Partial pressure]"", ""pCO2 Bld""]",11557-6,Carbon dioxide,
11572-5,Rheumatoid factor [Units/volume] in Serum or Plasma,Serum/Plasma,Arbitrary concentration,IU/mL,Serology,Other,False,"[""Rheumatoid fact SerPl-aCnc"", ""Rheumatoid factor Qn""]",11572-5,Rheumatoid factor,
